review,rating,date,bank,source,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_label,identified_themes
its good and simple to use,5,2025-05-02,CBE,Google Play,0.0,0.633,0.367,0.4404,positive,Other
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,0.0,0.62,0.38,0.5994,positive,"Account Access Issues, User Interface & Experience"
it's the best app i,5,2025-05-02,CBE,Google Play,0.0,0.488,0.512,0.6369,positive,User Interface & Experience
not bad not good,1,2025-05-02,CBE,Google Play,0.0,0.29,0.71,0.5981,positive,Other
its very nice,5,2025-05-02,CBE,Google Play,0.0,0.393,0.607,0.4754,positive,Other
do not work this week,3,2025-04-30,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
It crashes frequently,4,2025-04-30,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,User Interface & Experience
the best,5,2025-04-28,CBE,Google Play,0.0,0.192,0.808,0.6369,positive,Other
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,0.0,0.797,0.203,0.4215,positive,User Interface & Experience
goid,5,2025-04-28,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
best appearance,5,2025-04-27,CBE,Google Play,0.0,0.192,0.808,0.6369,positive,User Interface & Experience
it's very good 👍 app,5,2025-04-27,CBE,Google Play,0.0,0.61,0.39,0.4927,positive,User Interface & Experience
I need support you,5,2025-04-27,CBE,Google Play,0.0,0.526,0.474,0.4019,positive,Customer Support
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,0.291,0.709,0.0,-0.6249,negative,Other
super,5,2025-04-26,CBE,Google Play,0.0,0.0,1.0,0.5994,positive,Other
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
i like the app,5,2025-04-26,CBE,Google Play,0.0,0.545,0.455,0.3612,positive,User Interface & Experience
the Best,1,2025-04-26,CBE,Google Play,0.0,0.192,0.808,0.6369,positive,Other
nice,5,2025-04-26,CBE,Google Play,0.0,0.0,1.0,0.4215,positive,Other
good,5,2025-04-26,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
good,5,2025-04-25,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
to other bank is bad,1,2025-04-25,CBE,Google Play,0.467,0.533,0.0,-0.5423,negative,Other
tank's,5,2025-04-25,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,0.0,0.617,0.383,0.6804,positive,Feature Requests
